"","S","E","Ia","Is","R","ReD","V"
"61",2.09920153303824,0,0,1.56172843795915,96.3390700290026,0,0
"61.1",2.09789657374752,0,0,1.54748742596716,96.3546160002853,0,0
"61.2",2.09660431455193,0,0,1.53337547771481,96.3700202077333,0,0
"61.3",2.09532462528973,0,0,1.51939143850832,96.385283936202,0,0
"61.4",2.09405737725203,0,0,1.5055341636977,96.4004084590503,0,0
"61.5",2.09280244316447,0,0,1.49180251859505,96.4153950382405,0,0
"61.6",2.0915596971692,0,0,1.4781953783934,96.4302449244374,0,0
"61.7",2.09032901480706,0,0,1.46471162808606,96.4449593571069,0,0
"61.8",2.08911027300007,0,0,1.45135016238656,96.4595395646134,0,0
"61.9",2.08790335003415,0,0,1.43810988564912,96.4739867643167,0,0
"62",2.0867081255421,0,0,1.4249897117897,96.4883021626682,0,0
"62.1",2.08552448048682,0,0,1.41198856420748,96.5024869553057,0,0
"62.2",2.08435229714475,0,0,1.39910537570702,96.5165423271482,0,0
"62.3",2.08319145908961,0,0,1.38633908842088,96.5304694524895,0,0
"62.4",2.08204185117628,0,0,1.3736886537328,96.5442694950909,0,0
"62.5",2.08090335952497,0,0,1.36115303220139,96.5579436082736,0,0
"62.6",2.07977587150565,0,0,1.34873119348439,96.57149293501,0,0
"62.7",2.07865927572259,0,0,1.33642211626345,96.584918608014,0,0
"62.8",2.07755346199922,0,0,1.32422478816947,96.5982217498313,0,0
"62.9",2.07645832136319,0,0,1.31213820570836,96.6114034729285,0,0
"63",2.07537374603155,0,0,1.3001613741875,96.624464879781,0,0
"63.1",2.07429962939629,0,0,1.28829330764258,96.6374070629611,0,0
"63.2",2.07323586600993,0,0,1.27653302876502,96.650231105225,0,0
"63.3",2.07218235157144,0,0,1.26487956882995,96.6629380795986,0,0
"63.4",2.07113898291227,0,0,1.25333196762462,96.6755290494631,0,0
"63.5",2.0701056579826,0,0,1.2418892733774,96.68800506864,0,0
"63.6",2.0690822758378,0,0,1.2305505426873,96.7003671814749,0,0
"63.7",2.06806873662507,0,0,1.21931484045394,96.712616422921,0,0
"63.8",2.06706494157024,0,0,1.20818123980809,96.7247538186217,0,0
"63.9",2.06607079296479,0,0,1.19714882204271,96.7367803849925,0,0
"64",2.06508619415304,0,0,1.18621667654446,96.7486971293025,0,0
"64.1",2.06411104951947,0,0,1.17538390072579,96.7605050497547,0,0
"64.2",2.0631452644763,0,0,1.16464959995742,96.7722051355663,0,0
"64.3",2.06218874545116,0,0,1.15401288750146,96.7837983670474,0,0
"64.4",2.06124139987499,0,0,1.14347288444492,96.7952857156801,0,0
"64.5",2.06030313617005,0,0,1.13302871963374,96.8066681441962,0,0
"64.6",2.05937386373814,0,0,1.12267952960735,96.8179466066545,0,0
"64.7",2.05845349294895,0,0,1.11242445853371,96.8291220485173,0,0
"64.8",2.0575419351286,0,0,1.10226265814479,96.8401954067266,0,0
"64.9",2.05663910254829,0,0,1.0921932876726,96.8511676097791,0,0
"65",2.05574490841316,0,0,1.08221551378568,96.8620395778011,0,0
"65.1",2.05485926685122,0,0,1.07232851052605,96.8728122226227,0,0
"65.2",2.05398209290254,0,0,1.06253145924667,96.8834864478508,0,0
"65.3",2.05311330250848,0,0,1.0528235485494,96.8940631489421,0,0
"65.4",2.05225281250113,0,0,1.04320397422333,96.9045432132755,0,0
"65.5",2.05140054059287,0,0,1.03367193918373,96.9149275202234,0,0
"65.6",2.05055640536603,0,0,1.02422665341134,96.9252169412226,0,0
"65.7",2.0497203262628,0,0,1.01486733389219,96.935412339845,0,0
"65.8",2.04889222357514,0,0,1.00559320455789,96.9455145718669,0,0
"65.9",2.04807201843491,0,0,0.996403496226358,96.9555244853387,0,0
"66",2.04725963280411,0,0,0.987297446543005,96.9654429206528,0,0
"66.1",2.04645498946524,0,0,0.978274299922394,96.9752707106123,0,0
"66.2",2.04565801201179,0,0,0.969333307490344,96.9850086804978,0,0
"66.3",2.04486862483886,0,0,0.960473727026491,96.9946576481346,0,0
"66.4",2.04408675313392,0,0,0.951694822907284,97.0042184239588,0,0
